date,streak_9,streak_10,streak_11,streak_12,streak_13,streak_14,streak_15,streak_16,streak_17,streak_18,streak_19,streak_20,streak_21,streak_22,streak_23,streak_24,streak_25,streak_26,streak_27,streak_28,streak_29,streak_30
20260401,0,2,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260402,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260403,2,2,2,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20260404,4,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20260405,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260406,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260407,2,1,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0
20260408,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260409,2,3,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
20260410,2,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260411,2,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260412,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260413,1,2,1,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260414,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260415,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20260416,3,1,2,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
20260417,2,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260418,2,6,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260419,2,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260420,6,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260421,5,1,1,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260422,2,5,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260423,6,2,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20260424,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260425,3,3,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20260426,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20260427,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20260428,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260429,3,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260430,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260501,2,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260502,4,0,4,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20260503,1,4,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260504,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20260505,1,1,2,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20260506,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260507,3,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260508,2,1,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20260509,4,1,2,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20260510,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260511,2,5,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20260512,0,1,1,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
20260513,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20260514,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20260515,2,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260516,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260517,3,2,2,3,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
20260518,1,3,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20260519,2,3,3,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20260520,6,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20260521,2,2,2,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
20260522,4,3,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20260523,4,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260524,1,1,3,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
20260525,3,3,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20260526,1,4,1,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
20260527,3,2,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20260528,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20260529,2,2,1,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
20260530,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20260531,0,1,3,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20260601,1,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260602,3,2,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260603,3,4,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20260604,1,1,2,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260605,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260606,5,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260607,3,2,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20260608,4,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260609,2,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20260613,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20260616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260617,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20260620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20260621,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20260623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20260624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
